"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"387066","83-ctrl",0.489004118224862,11.0984965378266,35422,0.946100427350427,3.25764735049223e-51,3.51597878538626e-47,100,100
"3312","83-ctrl",0.630495941888172,4.39436702654338,31541,0.842441239316239,1.03054895598338e-30,3.70757162730954e-27,100,100
"5122","83-ctrl",-4.72385883892502,14.4263838074518,30662,0.818963675213675,1.44145410604975e-29,3.11152283331899e-26,100,100
"1004","83-ctrl",-4.55939727014648,13.7329118640331,29957,0.800133547008547,5.82446370175052e-26,1.04772394554989e-22,100,100
"7414","83-ctrl",-1.79561060681093,9.44855756196331,30098,0.803899572649573,7.13026396768222e-25,1.09938484290277e-21,100,100
"1462","83-ctrl",0.325802581080089,6.42530758892389,30008,0.801495726495727,3.31386853744212e-24,4.4708228905766e-21,100,100
"9211","83-ctrl",-6.17430885797785,12.3010136022198,29038,0.775587606837607,9.27124377475536e-23,1.00064534060935e-19,100,100
"1138","83-stim",-3.37635153571367,4.4953837684554,29465.5,0.787005876068376,1.87176541758079e-22,1.83654219563177e-19,100,100
"6876","83-ctrl",-10.9616591311426,11.0325037880725,27723,0.740464743589744,6.60118755533041e-22,5.93721810705676e-19,100,100
"3786","83-ctrl",-9.96054537548805,11.2936345129631,27784,0.742094017094017,8.13369954475703e-21,5.89239099891778e-18,100,100
"55745","83-ctrl",-2.12818628053276,10.1098539858419,28894,0.771741452991453,2.64140231615059e-20,1.78179094988833e-17,100,100
"157638","83-ctrl",-5.41878123992354,10.7037056234909,28591.5,0.763661858974359,3.10797567753203e-20,1.97319891103548e-17,100,100
"25975","83-ctrl",-3.5766869447802,10.4219666180576,28564.5,0.762940705128205,1.85502074685972e-19,1.05374941688721e-16,100,100
"5122","47-ctrl",-2.30243671169165,18.3967225465916,4844,0.897037037037037,1.12499080155134e-20,1.21420257211436e-16,100,100
"23022","83-ctrl",-2.15956239801965,9.79732126679065,28539,0.762259615384615,5.31446823113453e-19,2.86795278093175e-16,100,100
"387066","47-ctrl",0.58999921543449,6.6168095254406,5111,0.946481481481481,5.73760593829123e-20,3.09629904459886e-16,100,100
"10808","83-ctrl",-1.14818343514609,8.36598895010947,28552.5,0.762620192307692,7.25682540235879e-19,3.72966269369802e-16,100,100
"79682","83-ctrl",-0.894176518170323,7.64435206596423,28416.5,0.758987713675214,2.3423491630345e-18,1.09917280507093e-15,100,100
"5800","83-stim",-2.12729418032747,4.09624964115591,28385,0.758146367521368,2.7201797966346e-18,1.22328752271155e-15,100,100
"1601","83-ctrl",-1.16540095063356,7.47361598085076,28303,0.755956196581197,5.70617039165992e-18,2.32565506439464e-15,100,100
"10468","83-ctrl",-10.4873316260742,10.1869375133658,27052,0.722542735042735,5.81790852762488e-18,2.32565506439464e-15,100,100
"7042","83-ctrl",-6.43464866060321,10.8486123421153,27840,0.743589743589744,5.68125158289871e-18,2.32565506439464e-15,100,100
"5308","83-stim",-2.11027419879814,3.05823980022577,28267,0.754994658119658,7.79728083293252e-18,3.00557328678002e-15,100,100
"26227","83-ctrl",-2.29990336283162,9.65259963984935,28093,0.750347222222222,1.84266795898133e-17,6.69829634937771e-15,100,100
"429","83-stim",-15.0632460507728,7.21006412683818,24705,0.659855769230769,1.86184462597361e-17,6.69829634937771e-15,100,100
"23544","83-ctrl",-13.8125825619389,8.77327859855994,25911.5,0.692080662393162,2.52377163699661e-17,8.52205074216438e-15,100,100
"652","83-ctrl",-13.1808551312947,8.97483668041965,26156,0.698611111111111,2.61936430364152e-17,8.56690876642512e-15,100,100
"127253","83-ctrl",-4.52266843951539,11.692602488889,27683,0.739396367521368,9.07778941458296e-17,2.88166415151747e-14,100,100
"440","83-ctrl",-3.13736060216816,10.120988618593,27809,0.742761752136752,1.09032524140916e-16,3.36225152300831e-14,100,100
"586","83-ctrl",-1.37672191243243,7.13064923402954,27765.5,0.741599893162393,3.49609675527348e-16,1.01982087242342e-13,100,100
"6490","83-ctrl",-7.0636052655174,10.653963137054,27184.5,0.726081730769231,6.08553335684655e-16,1.72845161895907e-13,100,100
"57509","83-ctrl",-5.82600873537119,10.1281142530474,27336,0.730128205128205,7.58002162134495e-16,2.09513483085628e-13,100,100
"7345","83-ctrl",-0.924293191247143,7.87838197469378,27651,0.738541666666667,8.38507131711666e-16,2.17675067278117e-13,100,100
"990","83-ctrl",-10.2493545179153,9.96531494712729,26574,0.709775641025641,8.47063172952924e-16,2.17675067278117e-13,100,100
"116372","83-ctrl",-9.86016167245214,9.92315755278135,26565,0.709535256410256,2.04689074868699e-15,5.13769577920433e-13,100,100
"256435","83-ctrl",-8.20062406920945,10.5616700515514,26843,0.71696047008547,2.33796327039812e-15,5.73491763122884e-13,100,100
"202333","83-ctrl",-12.6413828996084,8.48337521080096,25734.5,0.687353098290598,1.29208300440157e-14,3.09898930366803e-12,100,100
"3313","83-ctrl",-1.40151569470193,6.80552167829277,27248,0.727777777777778,1.5153060119279e-14,3.48038096914589e-12,100,100
"7453","83-ctrl",-12.4506564625391,8.67978698527955,25772,0.688354700854701,1.51559256508716e-14,3.48038096914589e-12,100,100
"101805492","83-ctrl",-12.7338323133418,8.53570345739542,25617,0.684214743589744,3.00254222678832e-14,6.61355882729108e-12,100,100
"10627","83-ctrl",-1.00289502675218,6.31204399893352,27131,0.724652777777778,3.66801240732353e-14,7.91777158244856e-12,100,100
"1996","83-stim",-11.9096982827168,7.2487348438146,25461.5,0.680061431623932,4.95971919650183e-14,1.0496127311342e-11,100,100
"1301","83-ctrl",-9.91562272409314,9.43985928273527,26199,0.699759615384615,5.06944192103499e-14,1.0522016664179e-11,100,100
"8825","83-ctrl",-2.79299867490456,8.26853039582111,27008,0.721367521367521,5.61046742587085e-14,1.14252405523442e-11,100,100
"8788","83-ctrl",-8.7857635454892,9.36055373494692,26345,0.703659188034188,7.72254860699306e-14,1.54350865028289e-11,100,100
"595","83-ctrl",-10.7265874785141,8.92241935268408,25960.5,0.693389423076923,1.06621022302873e-13,2.09229217039074e-11,100,100
"813","83-ctrl",0.155873005677492,4.20153529077365,26905.5,0.718629807692308,1.8904696465444e-13,3.5796208587989e-11,100,100
"7080","83-ctrl",-13.670173802808,7.88559327388167,25051.5,0.669110576923077,4.88758213186682e-13,8.64781540151452e-11,100,100
"291","83-ctrl",-8.86763159407881,9.04004523408207,26024.5,0.695098824786325,9.83806477231573e-13,1.68543227123181e-10,100,100
"5332","47-stim",-0.91400729861795,9.34862162188773,4672,0.865185185185185,6.7507703298998e-14,1.82152660426521e-10,100,100
"3303","83-ctrl",-6.27823301018837,9.24133557928813,26315.5,0.702871260683761,1.14911697464673e-12,1.93787804802534e-10,100,100
"4810","83-stim",-11.018693975738,6.52620005899276,25463,0.680101495726496,1.18624147964296e-12,1.96970835227484e-10,100,100
"5332","83-stim",-7.44549766038496,4.27978843934399,26282,0.701976495726496,1.28022728382882e-12,2.09355955672189e-10,100,100
"9342","83-ctrl",-7.99928656920856,9.73321047202107,26052,0.695833333333333,1.50929857931837e-12,2.39556758332106e-10,100,100
"23150","83-ctrl",-8.53852287468714,9.05504541839759,25987.5,0.694110576923077,1.75609432662347e-12,2.74688783583292e-10,100,100
"4739","83-ctrl",-8.83334761057288,9.32873119192762,25921.5,0.692347756410256,1.78344888018742e-12,2.74982339483755e-10,100,100
"900","83-ctrl",-2.10364607294254,6.10230299495735,26524.5,0.708453525641026,1.90688872767097e-12,2.89873944193701e-10,100,100
"1429","83-ctrl",-6.75227936342852,9.37975569980343,26173,0.699065170940171,2.17633027047144e-12,3.2176893985203e-10,100,100
"29968","83-ctrl",-6.99938482630817,8.23659518675942,26187,0.699439102564103,2.15294399871198e-12,3.2176893985203e-10,100,100
"84617","83-ctrl",-6.93440569484288,8.59366774025847,26140,0.698183760683761,2.83338451740231e-12,4.07742921284308e-10,100,100
"11260","83-ctrl",-9.84938101114394,8.64899074328313,25727,0.687152777777778,3.01004818327657e-12,4.2191493561174e-10,100,100
"1138","47-stim",-1.10442550357563,6.10878867784578,4635.5,0.858425925925926,2.1265510931442e-13,4.42654033325547e-10,100,100
"5101","83-ctrl",-10.470994050192,8.56375164634886,25561.5,0.682732371794872,3.73393604640943e-12,5.16671432678167e-10,100,100
"65982","83-stim",-5.07696130770516,4.45769361548863,26296,0.702350427350427,3.93634490750181e-12,5.37784437805911e-10,100,100
"7980","83-ctrl",-8.88404187954331,8.93602490572077,25706.5,0.686605235042735,7.9225617856493e-12,1.05565690558658e-09,100,100
"55220","83-stim",-15.965859638763,5.65227360796953,23555,0.629139957264957,8.93809467692377e-12,1.17644946156144e-09,100,100
"5101","47-ctrl",-8.49530848485678,12.4755634332364,4193,0.776481481481481,8.9911962103698e-13,1.21302475873151e-09,100,100
"51474","83-ctrl",-5.53217411912102,7.64197715426467,26070,0.696314102564103,1.2073702520133e-11,1.57001772650356e-09,100,100
"10410","83-ctrl",-13.6806895096144,7.44436223752288,24703.5,0.659815705128205,1.31636318051197e-11,1.69136997705544e-09,100,100
"81931","83-ctrl",-6.20854692200602,8.87628444928914,25924,0.69241452991453,1.75717658695653e-11,2.23120081212021e-09,100,100
"7169","83-ctrl",-1.56867558362707,5.86831137505776,26158.5,0.698677884615385,2.0598373515503e-11,2.58509587619562e-09,100,100
"7078","83-ctrl",-15.7377414067297,6.54649517506699,24000.5,0.641038995726496,2.09096380018701e-11,2.59399681556534e-09,100,100
"10797","83-ctrl",-10.0527877445125,8.13077703174543,25400,0.678418803418803,2.7055473457438e-11,3.28100814636099e-09,100,100
